0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:03 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:04 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:05 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:09 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:10 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:10 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:16:10 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:21:54 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:22:48 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:27:30 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 2309
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:27:30 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:27:30 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:27:30 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:27:30 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
